equation_set,equation_type,term_name,coefficient
7,y,t*d^2y/dt^2_y,-2.2298321312375435
7,y,t^2*y_y,-0.006609827034965852
7,y,dx/dt*sin_y,0.005163978473104076
7,y,dx/dt*cos_y,0.44305175417225734
8,x,C_x,-0.27800132910899633
8,x,x_x,-0.021519966342417922
8,x,y_x,0.24376115236425064
8,x,dx/dt_x,0.35375158503449344
8,x,d^2x/dt^2_x,1.2528295852467448
8,x,dy/dt_x,0.5248651765397148
8,x,d^2y/dt^2_x,-0.4430785962653261
8,x,t_x,0.24253574493501365
8,x,t^2_x,-0.007775659508979555
8,x,x*dx/dt_x,-0.0022127271103945145
8,x,y*dy/dt_x,-0.447213595499958
8,x,dx/dt*dy/dt_x,-2.2360679774997894
8,x,dx/dt*d^2x/dt^2_x,0.0020191595151009996
8,x,dx/dt*d^2y/dt^2_x,0.0028616371058115464
8,x,dx/dt*t_x,0.43902986783979603
8,x,d^2y/dt^2*t_x,-0.447213595499958
8,x,d^2y/dt^2*sin_x,0.006380331147331657
8,y,C_y,0.43485765108198027
8,y,x_y,0.0006711867549621482
8,y,y_y,-0.30151134457776363
8,y,dx/dt_y,0.3076962895827476
8,y,d^2x/dt^2_y,0.413723449548798
8,y,dy/dt_y,0.5266411954464297
8,y,d^2y/dt^2_y,-0.231393717382392
8,y,t^2_y,-0.22537588496683308
8,y,y*d^2y/dt^2_y,0.0004259436849998775
8,y,dy/dt*dx/dt_y,0.2829142877235476
8,y,dy/dt*d^2x/dt^2_y,-0.0006234865623373823
8,y,d^2x/dt^2*d^2y/dt^2_y,0.011102551643281378
8,y,t*d^2y/dt^2_y,0.44721359549995787
8,y,t^2*y_y,-0.0014091788115880963
8,y,dx/dt*sin_y,0.0047643654686703825
8,y,dx/dt*cos_y,0.44721359549995787
9,x,C_x,-0.2395671413869281
9,x,x_x,-0.02184878551601487
9,x,y_x,0.23521710800672901
9,x,dx/dt_x,0.35375158503449344
9,x,d^2x/dt^2_x,-0.7977240352174656
